,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC101930421,38.7559328940854,-1.26746237591052,0.327566282553242,-3.86933101304318,0.000109134392023529,0.00384952389908228
LOC102723663,6.90268950303781,2.02398168948911,0.687308298769701,2.94479448758597,0.00323169241319438,0.0320791080571825
LOC102723724,6.59294584149502,1.69305110821396,0.576004360045005,2.93930259153191,0.00328951747653903,0.032489346631374
LOC102724322,6.90262791029896,-2.76313156533965,0.741742937828659,-3.7251875608392,0.000195170051997228,0.00544272614842679
LOC102724420,6.36408874104426,-1.70028554361023,0.608275711002047,-2.79525470581301,0.00518588395490569,0.0444433414307714
LOC102724528,82.9143765620367,-1.04811053345729,0.3143860886741,-3.33383241566958,0.000856582497857666,0.0137374069322548
LOC102724838,18.0963410644002,-1.35278225695674,0.462908306454437,-2.92235468254638,0.00347395687945803,0.0336031958664275
LOC105369214,4.98507637848664,4.34632576712146,1.09405849685698,3.972663051937,7.10735531884853e-05,0.00311049456998673
LOC105369309,25.9419795095003,1.55715893806018,0.393646387520567,3.95573028846562,7.63012066170062e-05,0.0032438682898103
LOC105369782,262.528344705608,-1.18136040059974,0.287438639351188,-4.10995683554003,3.95733083339774e-05,0.00234553631413265
LOC105370169,29.3235701636644,-1.25731079922651,0.411531093205473,-3.05520243788419,0.00224908657395632,0.0256625208502293
LOC105370182,10.5310817281964,-1.77685850383097,0.589986121869449,-3.01169542463263,0.00259793118689426,0.0278669154655204
LOC105370456,61.233231669005,-1.01785624537302,0.318422816429779,-3.19655562621244,0.00139079006757954,0.0187091663872346
LOC105370532,28.177437951482,-1.03609331835724,0.313309350200297,-3.30693392231948,0.000943231387367493,0.0146267708211145
LOC105371366,33.1775018229431,-1.20708729920322,0.409885205473038,-2.94493990777284,0.00323017392589675,0.0320791080571825
LOC105372143,13.8620999209226,1.25906274426666,0.432017494844181,2.91437906865503,0.00356396859742829,0.0342384378330501
LOC105372511,8.47575313402653,-1.69377981899814,0.59356220814302,-2.85358433498855,0.0043229052116686,0.0392027713919724
LOC105372850,12.6738453784553,1.34394318762768,0.439269730015497,3.05949419182665,0.0022171108666684,0.0254150298954802
LOC105373575,5.11042817937627,1.87263514212602,0.658697287711936,2.84293738119197,0.00446998517177923,0.040050904446324
LOC105374709,9.07220198232649,1.41165421230695,0.5038214901202,2.80189360713884,0.00508036249906183,0.0436149342007514
LOC105374985,8.67795851709166,-1.50331720380658,0.521147892055128,-2.88462685300002,0.00391877843992854,0.036622262642005
LOC105375382,22.3229275546815,-1.13228215756104,0.408819320425205,-2.7696395473271,0.00561183589853976,0.04667208453794
LOC105375483,17.4241507432536,-1.65872837671171,0.367077603175934,-4.51874034907194,6.22086277602177e-06,0.000827795077776842
LOC105375542,45.9684990723659,-1.23980415710182,0.395879549564415,-3.13177116237999,0.00173755248815894,0.0217403803696329
LOC105375544,13.0454737619179,-1.59457626553998,0.48743861933068,-3.2713375639574,0.00107040059977377,0.0159218046918011
LOC105375701,7.37440393816479,1.9986033932442,0.689346821411158,2.89927121032178,0.00374031206345976,0.035414281623931
LOC105376340,6.54996620777837,-2.27103303481026,0.764121286035574,-2.97208450584183,0.00295785259097208,0.0303395567326064
LOC105377116,18.7919642271894,1.38277886807203,0.381935446246845,3.62045178487661,0.000294089052236961,0.00697290559325224
LOC105377382,24.581291241072,-1.39716282195946,0.44536258212411,-3.13713562395799,0.0017060718881432,0.0214829793894451
LOC105377982,4.93476538498578,1.98787159581857,0.70607348921114,2.8153890865376,0.00487182104081716,0.0424538245919704
LOC105378077,11.6972637763912,-1.716279369519,0.627463584349533,-2.73526530037308,0.00623300174886442,0.0496171125473467
LOC105379083,5.14479928504619,1.99813466502537,0.706596193054868,2.82783106485009,0.00468645300691837,0.0412399488464032
LOC105379308,27.6025948727215,1.03127536810793,0.342131771894803,3.014263663373,0.00257603825962205,0.0277845032303709
LOC107983974,5.48780584776694,1.99362295233232,0.693420313829571,2.87505703621817,0.00403954519055728,0.0374904820842766
LOC107984040,26.1701328936021,-1.44787512355898,0.468496077072822,-3.09047438050142,0.00199837043742883,0.0237263396149458
LOC107984104,35.8746497678567,1.00821697734395,0.321522708213634,3.13575667157557,0.00171411359595706,0.0215566750694626
LOC107984440,14.951289197768,1.40873934348372,0.438471198320588,3.21284350917326,0.00131427878694043,0.0179457059820439
LOC107984702,6.3448342121182,2.0824781923575,0.662775832324737,3.14205511243983,0.0016776645391895,0.0213652702815675
LOC107984751,109.755302967865,-1.0583585221206,0.333832384121207,-3.1703291006553,0.00152266373147337,0.0199776153833143
LOC107985012,6.20058416280323,-2.33061695105064,0.734078855869468,-3.17488636597519,0.00149895188938496,0.019732859966275
LOC107985323,20.6060756699462,1.60177537833471,0.410421931291169,3.90275288968012,9.51047866699996e-05,0.00352821515888663
LOC107985544,6.68817067202218,-1.51613512533491,0.543792921492665,-2.78807440371466,0.00530223646739977,0.0451262942908259
LOC107986012,12.1364414521944,1.3814720019512,0.490817269182843,2.81463609512193,0.00488324959178423,0.042478232093904
LOC107986298,238.959577168161,-1.09826221939922,0.251826515645655,-4.36118578134394,1.29359468482343e-05,0.00133025864557556
LOC107986874,12.0333147691355,1.23138027360655,0.445714199057863,2.76271268945303,0.00573232006754402,0.0470384630875883
LOC107987153,24.3311925608507,-1.10528295932728,0.397706100521496,-2.77914509704018,0.00545021740663407,0.0458703340197655
LOC107987250,255.823342079221,-1.01417499108402,0.257051797011349,-3.94541101394925,7.9663213088163e-05,0.0032451219609721
LOC107987299,31.673326888836,1.24235264692809,0.327157225518431,3.79741772464107,0.000146211282753595,0.0045706111151576
LOC112268121,179.787954084395,-1.10480906830208,0.28287096978257,-3.90569972292064,9.39531217287258e-05,0.0035043802638741
LOC112268271,39.3935473442986,-1.08727987501885,0.390142146307021,-2.7868813592962,0.00532179587216464,0.0452440230530457
LOC388780,5.29353303243703,2.83930865243329,0.865813664540124,3.2793530163807,0.00104045393932642,0.0155232574856776
LOC729291,10.1478643230619,1.27429271576959,0.451153838458341,2.82451928176879,0.00473515991179602,0.0415942191359995
LPAR1,487.652577651692,-1.25654914745694,0.263982117783852,-4.75997828188424,1.93613792087253e-06,0.00043887063658057
LRAT,61.0973233917134,1.00173811556137,0.348816073367972,2.87182326745767,0.004081111342925,0.0377534112130122
LRP2,451.61536085685,-1.39368264002954,0.323154956861741,-4.31273793094197,1.61245207001401e-05,0.00146838111596608
LRRC46,13.0148172739423,1.15806223397337,0.373218413077173,3.10290755599432,0.00191629489135613,0.0230118973111998
LRRC55,16.0677182609007,1.38086275787712,0.426101053571996,3.24069313206663,0.0011923946873628,0.016967500702979
LRRC71,6.10359535945417,3.86741956543068,0.79919473382588,4.83914545697353,1.30398587184071e-06,0.000390399679381253
LRRC74B,9.63280140069212,1.35798324306666,0.486652588304406,2.79045724959183,0.00526336505329563,0.0449052932310415
LRRIQ1,177.366975091955,1.41796903026736,0.313319077227542,4.5256389837941,6.02132938216642e-06,0.000827795077776842
LTBP4,66.6012654592091,1.18617043446576,0.338185908212369,3.5074508004659,0.000452422005100872,0.00909183568209855
LTF,37.9819840410424,2.46581767107888,0.537585458177582,4.58683848971291,4.50008537274306e-06,0.000674647658489438
LURAP1L,23.3545053698311,-1.5074198385706,0.412582082774731,-3.6536240944657,0.000258564734081903,0.0063972033580515
LURAP1L-AS1,23.7721694353428,-1.45543069941804,0.423925916264231,-3.43321944608565,0.000596459130483358,0.0109465578029977
LZTFL1,29.8067001723999,1.02719554326304,0.353584379400693,2.90509310678283,0.00367143867773345,0.0349467205761643
MAG,2584.78284210809,-1.2008717756825,0.320267917050858,-3.7495849935284,0.00017712745722028,0.00515392327253549
MAOB,317.617242161824,1.02262974067039,0.298865142657918,3.42170964327178,0.000622287299995484,0.011228734688431
MAP3K19,36.7118672412573,1.74275198917489,0.479365830665395,3.63553653116206,0.000277402677799272,0.00671150901299615
MAP3K8,59.5743301147372,1.04214849502489,0.242862728939111,4.29110098357731,1.77789436178476e-05,0.0015492854673004
MAP6D1,316.384131715412,-1.2441783518728,0.318009094018297,-3.91239865549635,9.13838922422678e-05,0.00346098918042158
