,GSM7021440,GSM7021441,GSM7021442,GSM7021443,GSM7021444,GSM7021445,GSM7021446,GSM7021447,GSM7021448,GSM7021449,GSM7021450,GSM7021451,GSM7021452,GSM7021453,GSM7021454,GSM7021455,GSM7021456,GSM7021457
ABALON,33.5220457451212,29.5956973591429,30.3580173340406,33.6848352302779,17.1639726285661,13.8320888603406,0.680597095075822,7.27135962554184,19.4126914688146,38.4498982408122,21.1491949014217,35.7713473905618,14.1748289380891,4.97619204719291,7.59063465446649,12.3171180195436,11.1878772971819,20.8047651743829
ABCA1,337.902221110822,173.070491078466,150.004320944671,77.7342351467952,51.4919178856983,60.2102691567767,149.731360916681,127.248793446982,140.202771719217,60.5877184400677,77.5470479718797,81.4791801673908,161.593049894216,152.452429082183,99.9433562838088,37.5378834881329,160.163296043867,72.8166781103402
ABCA11P,1.34088182980485,0.643384725198759,16.0718915297862,0,1.00964544873918,1.62730457180477,6.80597095075822,1.81783990638546,6.47089715627155,1.16514843153976,2.34991054460242,0,1.7009794725707,3.16666766639549,0.632552887872208,1.17305885900415,1.1776712944402,0
ABCA12,10.7270546384388,1.28676945039752,0,0,2.01929089747837,3.25460914360955,7.48656804583404,2.72675985957819,8.62786287502873,1.16514843153976,0,0,1.13398631504713,1.80952438079742,1.89765866361662,1.17305885900415,3.53301388332061,2.40054982781341
ABCA13,12.0679364682436,0.643384725198759,3.57153145106359,2.59114117155984,0,0,0.680597095075822,2.72675985957819,2.15696571875718,1.16514843153976,0,1.98729707725343,0,0,3.79531732723325,2.34611771800831,0,3.20073310375122
ABCA2,84.4755552777054,431.711150608368,416.083414048909,481.95225791013,609.825851038466,545.147031554599,118.423894543193,251.31636705779,170.400291781817,548.784911255229,766.070837540387,393.48482129618,323.753092945956,304.452477069166,184.072890370812,479.781073332699,58.8835647220101,529.721328670826
ABCA4,0,0,1.7857657255318,7.77342351467952,0,0,1.36119419015164,0.90891995319273,0,2.33029686307953,0,1.98729707725343,0,0,0.632552887872208,0,2.94417823610051,0
ABCA6,81.7937916180957,66.2686266954722,667.876381348892,943.175386447781,280.681434749493,275.014472635007,229.361221040552,339.027142540888,481.003355282852,1462.2612815824,1743.63362409499,1059.22934217608,115.666604134807,127.571468846218,65.7855003387096,241.063595525354,70.071442019192,75.2172279381536
ABCA7,2.6817636596097,6.43384725198759,37.5010802361677,10.3645646862394,10.0964544873918,9.76382743082865,2.72238838030329,6.36243967234911,19.4126914688146,5.82574215769882,23.4991054460241,13.911079540774,2.83496578761783,3.61904876159484,7.59063465446649,2.93264714751039,0,6.40146620750243
ABCA8,53.6352731921939,201.379418987212,266.079093104238,386.080034562416,277.652498403275,260.368731488764,114.340311972738,200.416849678997,105.691320219102,341.388490441151,296.088728619904,449.129139459276,161.026056736693,167.381005223761,191.663525025279,509.107544807803,69.4826063719719,345.679175205131
ABCA9-AS1,1.34088182980485,0.643384725198759,5.35729717659539,15.546847029359,0,0,0.680597095075822,0.454459976596365,15.0987600313003,4.66059372615906,4.69982108920483,3.97459415450687,0,0.90476219039871,0,0,0.588835647220101,0
ABCB10,9.38617280863394,13.5110792291739,8.92882862765899,31.0936940587181,12.1157453848702,8.95017514492626,4.76417966553076,14.5427192510837,6.47089715627155,3.49544529461929,25.8490159906266,5.9618912317603,11.9068563079949,9.04762190398711,7.59063465446649,4.10570600651454,2.94417823610051,12.0027491390671
ABCB11,2.6817636596097,0,3.57153145106359,5.18228234311968,0,0,3.40298547537911,0.454459976596365,4.31393143751437,0,0,1.98729707725343,2.26797263009426,0,0,0,1.1776712944402,0
ABCB4,10.7270546384388,5.79046252678883,17.857657255318,36.2759764018377,15.1446817310877,9.76382743082865,12.2507477113648,11.8159593915055,45.2962800939008,15.1469296100169,2.34991054460242,15.8983766180275,11.9068563079949,10.4047651895852,9.48829331808312,15.249765167054,23.553425888804,4.80109965562683
